,title,contents,period,location,page_url
1,삼척 비치 썸 페스티벌,"썸, 바라던 바다",2023.07.26 ~ 2023.07.30,강원특별자치도 삼척시 갈천동 14-7 삼척해수욕장 일원 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=3ebf99b8-e25d-4074-821a-27a6c0e488ef
2,"무지개숲 니지모리스튜디오 ""나츠마츠리""(여름축제) ",,2023.07.22 ~ 2023.08.06,경기도 동두천시 천보산로 567-12   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=1186a3fe-68fd-4ee0-912e-22bfb66b0fb6
3,충장상권르네상스 라온페스타,당신의 여름이 즐거움에 빠지다 ,2023.07.22 ~ 2023.07.31,광주광역시 동구 중앙로 187 충금지하상가  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=ece99852-13aa-466d-84ad-4e9f89e5e1ab
4,보령머드축제,보령의 명물 머드를 마사지 및 각종 놀이 체험으로 즐기는 체험형 축제,2023.07.21 ~ 2023.08.06,충청남도 보령시 해수욕장10길 5   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=910bb144-bf74-4eee-9e91-8fbcbaf302ac
5,태백 해바라기축제,,2023.07.21 ~ 2023.08.15,강원특별자치도 태백시 구와우길 38-20 (황지동),https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=defc9c88-a69e-4fd5-8d79-e04c4bfdb9ab
6,휴애리 유럽 수국축제,,2023.07.17 ~ 2023.09.15,제주특별자치도 서귀포시 남원읍 신례동로 256 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=527be805-75fb-4361-8e7f-6883c1a00f1e
7,아시테지 국제여름축제 ,,2023.07.15 ~ 2023.07.30,서울특별시 종로구 동숭길 114 (동숭동)2층,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=b2360df7-1c9d-4bd6-be91-af9980104351
8,"영남춤축제 <춤, 보고싶다>","화해와 조화, 영감靈感의 징검다리 
부산·영남 춤 활성화와 전통춤 예인들의 열린 무대",2023.07.14 ~ 2023.08.12,"부산광역시 부산진구 국악로 2 국립부산국악원 연악당, 예지당, 야외마당",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=921d02ed-a3d8-4118-a038-54b946e48a75
9,부안워터페스티벌,최장워터슬라이드+워터바운스+놀이기구+워터풀까지 시원한 여름을 날릴 수 있는 변산바다축제,2023.07.08 ~ 2023.08.20,전라북도 부안군 변산면 대항리 614 챌린지테마파크 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=5ad7cc47-3142-4c1d-a2c7-028bac3ac465
10,한국민속촌 조선살인수사,직접 암행어사가 되어 조선시대 살인사건을 조사하라!,2023.07.08 ~ 2023.11.12,경기도 용인시 기흥구 민속촌로 90 한국민속촌  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=449344da-1a0f-45a5-9d00-73011ab3aa3c
11,세계유산축전,세계유산의 가치를 전합니다,2023.07.07 ~ 2023.10.14,"서울특별시 중구 퇴계로36가길 18-1 K-Heritage(케이헤리티지)센터  백제역사유적지구, 전남순천(선암사·순천갯벌), 수원화성 ",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=aea9455a-193d-4d16-a4f7-60822cd47d0f
12,한림공원 연꽃축제,연꽃 만개한 한림공원에서 시원한 여름을 만나세요! ,2023.07.07 ~ 2023.08.31,제주특별자치도 제주시 한림읍 한림로 300 한림공원 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=c5b62895-51f3-43f9-afb4-9deb07463dee
13,렛츠런파크 부산경남 썸즈업 워터페스티벌,렛츠런파크 부산경남에서 즐기는 야외 물놀이 축제 ,2023.07.01 ~ 2023.08.27,부산광역시 강서구 가락대로 929 부산경남경마공원  렛츠런파크 부산경남 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=b6d9782f-0d3e-4f00-b019-54352b097ff7
14,쁘띠프랑스 & 이탈리아마을 베니스가면축제	,,2023.07.01 ~ 2023.08.31,경기도 가평군 호반로 1063 쁘띠프랑스  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=4300fc7c-4d4b-4d40-85d3-c92c69fa52bb
15,세미원 연꽃문화제,"연꽃을 보며, 마음을 정화하다.",2023.07.01 ~ 2023.08.15,경기도 양평군 양서면 양수로 93 세미원 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=9aef769f-4f22-4a7f-981a-aacac41fd0d6
16,씨파크 핫썸머쿨캉스 페스티벌	,아름다운 자연속에서 즐기는 야외 물놀이 축제,2023.07.01 ~ 2023.08.31,경상남도 합천군 합천호수로 525   씨파크 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=f67299ed-fee1-44d1-9eec-331f6c675bd4
17,제주민속촌 귀몽,제주 지박령들과 만나는 오싹한 공포체험!,2023.07.01 ~ 2023.11.05,제주특별자치도 서귀포시 표선면 민속해안로 631-34 제주민속촌,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=22059c53-b1f2-4ff5-9336-c43569809e21
18,"한국민속촌 '그해, 시골 여름' ",도심에서 즐기는 리얼 촌캉스,2023.07.01 ~ 2023.08.27,경기도 용인시 기흥구 민속촌로 90 한국민속촌,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=73ccbc25-61f0-4d28-a6fd-890db34e6e2c
