,title,content
0,"<selenium.webdriver.remote.webelement.WebElement (session=""1b90b6dd95c7c30de2f875cd331d1e57"", element=""7CA9422B3ABA02A87168B3E6402539E0_element_47"")>","이주호 사회부총리 겸 교육부장관.
중앙정부와 지방자치단체의 다자녀 혜택 기준이 3자녀에서 2자녀로 완화된다. <br/> <br/> 교육부는 16일 정부서울청사에서 제7차 사회관계장관회의를 열고 '다자녀 가구 지원정책 추진 현황 및 개선 방향' 등을 논의했다. <br/> 중앙정부와 지방자치단체들은 저출산고령사회위원회가 올해 3월 발표한 '저출산·고령사회 정책과제·추진방향'에 맞춰 다자녀 가구의 양육 부담을 실질적으로 낮춰줄 범정부 대책을 추진하기로 했다. <br/> <br/> 이에 따라 사회관계 부처들은 다자녀 혜택 기준을 3자녀에서 2자녀로 완화한다. <br/> <br/> 국토교통부는 공공분양주택 다자녀 특별공급(특공) 기준을 올해 말까지 2자녀로 바꾸고, 민영주택의 특공 기준 완화도 검토할 예정이다. <br/> <br/> 행정안전부는 그간 3자녀 가구에만 제공하던 자동차 취득세 면제·감면 혜택을 2자녀 가구에 제공할 수 있도록 지방세특례제한법을 정비할 계획이다. <br/> <br/> 문화체육관광부는 국립극장과 박물관 등 국립 문화시설의 다자녀 할인 혜택 기준을 2자녀로 통일하고, 다자녀 우대카드 외에 가족관계증명서 등도 증빙서류로 허용할 예정이다. <br/> <br/> 전시를 관람할 때 영·유아 동반자가 우선 입장할 수 있는 신속 처리제(패스트트랙) 도입도 검토한다. <br/> <br/> 교육부는 초등돌봄교실 지원 대상에 다자녀 가구를 포함하고, 여성가족부는 아이돌봄서비스 본인부담금을 자녀 수에 따라 추가 할인하는 양육 부담을 덜어줄 방침이다. <br/> 지방자치단체들도 다자녀 혜택 확대에 힘을 보탠다. <br/> <br/> 각 지자체는 3자녀 이상 가구의 셋째 자녀부터 주로 지원하던 초·중·고 교육비를 2자녀 가구, 혹은 첫째 자녀부터 지원하는 방향으로 개선할 방침이다. <br/> <br/> 부산시와 대구시는 조례를 개정해 올해 10월과 내년 1월부터 다자녀 기준을 2자녀로 바꾼다. <br/> <br/> 이에 따라 전국 17개 광역자치단체의 다자녀 기준이 사실상 '2자녀'로 통일된다. <br/> <br/> 이와 별도로 정부는 이날 사회관계장관회의에서 외국인 유학생 30만명 유치를 위한 '유학생 교육경쟁력 제고 방안'과 직업계고 경쟁력 강화를 바탕으로 한 '중등직업교육 발전 방안', 2023 유엔기후변화협약(UNFCCC) 적응주간 개최 계획도 논의했다. <br/> <br/> 이 가운데 중등직업교육 발전 방안은 이달 중 사회관계장관회의 심의를 거쳐 별도로 발표한다. <br/> <br/> 교육부는 사회·경제 변화에 대응해 마이스터고·특성화고의 경쟁력을 높이고 교육 현장과 산업계가 원하는 학교를 육성하는 한편, 취업을 원하는 학생들이 질 높은 실무교육을 받을 수 있도록 산학협력을 고도화할 계획이다."
1,"<selenium.webdriver.remote.webelement.WebElement (session=""1b90b6dd95c7c30de2f875cd331d1e57"", element=""7CA9422B3ABA02A87168B3E6402539E0_element_48"")>","전기차 통합 배송센터 청주캠프 완공…점진적 전국 확대 나서 
쿠팡은 충북 청주 1캠프에 전기차 통합 배송센터 건립을 완료했다고 16일 밝혔다. 쿠팡 제공
쿠팡이 수도권과 제주, 부산 지역에 이어 충북 청주 1캠프에 전기차 통합 배송센터 건립을 완료하는 등 친환경 배송생태계 조성에 앞장서고 있다. 쿠팡은 전기화물차에 최적화된 전기차 통합센터를 전국적으로 확대해나갈 방침이다. <br/> <br/> 16일 쿠팡에 따르면 친환경 배송을 고려해 설계된 전기차 통합 배송센터를 건립해 배송 캠프 내에 전기화물차 충전 인프라를 만들고 충전솔루션을 개발하는 등 유통물류 분야에 최적화된 전기화물차 운영 시스템 구축에 나서고 있다. <br/> <br/> 쿠팡이 2021년 오픈한 제주3캠프는 전기화물차의 이동 동선, 충전 효율화 등 유통물류 환경에 최적화된 천장형 중속 충전시스템이 국내 최초로 도입된 전기차 통합 배송센터이다. 배송 업무 전후 쿠팡친구가 카드를 단말기에 태그하여 천장에 달린 충전기를 차량과 연결하면 365일 24시간 언제든 충전이 가능하다. <br/> <br/> 쿠팡은 제주 3캠프를 시작으로 전기차 통합 배송센터를 전국으로 확대하며 배송 중 탄소 저감이 가능한 친환경 배송 인프라 혁신을 가속화하고 있다. 쿠팡은 전기차 통합 배송센터를 통해 운행에 필요한 전력량을 직접 공급하면서도 충전과 적재가 동시에 가능한 친환경 배송 인프라 환경을 구축해 나갈 예정이다. <br/> <br/> 복잡도가 높은 물류 환경을 고려해 차량 대수에 따라 전력분배가 가능하고 공간 효율성을 높일 수 있도록 시중 충전기 대비 크기를 절반으로 줄인 충전기를 이번 청주 1캠프에 적용했다. <br/> <br/> 특히 부산과 청주 1캠프에는 쿠팡친구 뿐 아니라 전기화물차를 사용하는 외부 택배기사(퀵플렉서)들도 사용 가능한 공용화 충전기를 구축해 충전 인프라 이용 저변이 확대될 수 있도록 했다. <br/> <br/> 쿠팡은 완공된 청주1캠프를 포함해 수도권, 제주, 부산 5개 지역에 전기차 통합 배송센터를 구축한 것에 이어 점진적으로 전국 확대를 진행하는 등 대기오염물질 배출 감축을 위한 다각도의 노력을 지속적으로 추진할 예정이다. <br/> <br/> 쿠팡 관계자는 ""전기차 통합 배송센터의 전국 확대로 더욱 효과적인 친환경 배송 인프라 구축이 가능할 것으로 기대 된다""며 ""쿠팡의 엔드 투 엔드(End to end) 물류 네트워크를 기반으로 선도적인 친환경 배송 환경을 조성하면서도 이용이 증가하는 전기화물차의 충전 편의성 확보를 위해 최선을 다할 계획"" 이라고 말했다."
2,"<selenium.webdriver.remote.webelement.WebElement (session=""1b90b6dd95c7c30de2f875cd331d1e57"", element=""7CA9422B3ABA02A87168B3E6402539E0_element_49"")>","작가 강연과 인형극 등
광주시립도서관은 9월 독서의 달을 맞아 ‘펼쳐보자 책도, 꿈도’를 주제로 다양한 행사를 선보인다고 16일 밝혔다. 무등‧사직‧산수‧디지털정보 도서관이 저마다 책과 더불어 강연, 체험, 전시 등 다양한 독서문화 행사를 운영한다. <br/> <br/>무등도서관은 △‘어른의 어휘력’ 저자 유선경 작가 강연 △ ‘마음버스’ 김유 작가와의 만남 △어린이 펩아트: 다시 태어나는 책 △한 땀 한 땀 북커버 만들기 △도서관 속 사진 맛집 등을 진행한다. <br/> <br/>사직도서관은 △‘이야기 속 동물의 비밀’을 주제로 한 난주 작가와의 만남 △그림책 인형극 ‘유기견 영남이’ △MBTI로 ‘나’와 ‘타인’ 이해하기 △주제도서 전시 등을 준비했다. <br/> <br/>산수도서관은 △‘숲이 될 수 있을까?’를 쓴 한유진 작가와의 만남 △마크라메 공예 △그림책 ‘내가 예쁘다고?’ 아트프린트 전시를 꾸린다. 디지털정보도서관은 오디오북 다독자 기획 행사를 마련했다. <br/> <br/>9월 한 달간 연체도서를 반납하면 대출정지 규제를 풀어주는 ‘연체기록 지우개’, 매주 수요일마다 대출 권수를 두 배로 늘려주는 ‘두 배 대출’은 공통 행사로 추진한다. <br/> <br/>송경희 시립도서관장은 “9월 독서의 달에 시민들이 책 읽는 기쁨을 누리고 도서관과 가까워지는 계기가 마련했으면 한다”고 말했다. <br/> <br/>광주=장선욱 기자 swjang@kmib.co.kr"
3,"<selenium.webdriver.remote.webelement.WebElement (session=""1b90b6dd95c7c30de2f875cd331d1e57"", element=""7CA9422B3ABA02A87168B3E6402539E0_element_50"")>","【동해】동해시가 '올해의 책' 선정 도서를 활용한 다양한 독서프로그램을 진행한다. <br/> <br/> 올해의 책은 일반도서의 경우 '아버지의 해방일지(정지아 저)', 아동도서의 경우 '네 기분은 어떤 색깔이니?(최숙희 저)'다. <br/> <br/> 시는 선정도서와 연계해 독후감 공모전 등을 운영할 방침이다. <br/> <br/> 우선 독후감 공모전이 다음달 1일부터 24일까지 초등, 중고등, 일반 등 3개 부문으로 진행된다. <br/> <br/> 부문별 각 최우수 1명, 우수 2명, 장려 3명을 선정해 오는 10월 동해시 평생학습 愛, 책문화 축제 시 상장과 문화상품권을 수여할 예정이다. 참가를 원하는 경우 이메일로 참가 신청서와 독후감을 보내면 된다. <br/> <br/> 이어 올해의 책을 읽은 후 가장 기억에 남는 문장을 동해시립도서관 홈페이지에 남기는 '내 마음에 콕!'도 열린다. 온라인 추첨을 통해 10명을 선정, 모바일 상품권을 지급한다. <br/> <br/> 다음달 1일부터 27일까지 발한도서관과 북삼도서관에서 올해의 책을 전시하는 이벤트도 진행된다. <br/> <br/> 전춘미 평생교육센터소장은 “시민들이 함께 읽을 올해의 책을 기반으로 다양한 독서 프로그램을 준비했다”며 “이를 통해 책 읽는 문화가 확산될 수 있도록 시민 여러분의 많은 관심과 참여를 부탁한다”고 말했다."
4,"<selenium.webdriver.remote.webelement.WebElement (session=""1b90b6dd95c7c30de2f875cd331d1e57"", element=""7CA9422B3ABA02A87168B3E6402539E0_element_51"")>","현대의학의 부족한 부분을 한의학과 같은 다른 의학체계로 보완하는 '통합의학'에 대한 세계적인 관심이 갈수록 높아지고 있다. <br/><br/><br/> <br/><br/><br/>특히 통합의학은 수술과 약물 치료를 진행하기 어려운 환자에게 효과적인 대안이자 안전하고 효율적인 치료법이라는 다양한 연구 결과도 뒤따르고 있다. 실제 한 글로벌 리서치 기업에 따르면 통합의학의 전 세계적 규모는 매년 20% 이상 성장해 2035년 약 370억 달러 규모로 성장할 전망이다. <br/><br/><br/> <br/><br/><br/>이 가운데 한의치료는 통합의학의 주류로서 자리매김하고 있다. 일례로 미국내과학회에서는 2017년 개정한 요통치료 가이드라인에서 시술과 약물 오남용을 막기 위해 요통 환자에게 침치료와 같은 비침습적 치료를 우선할 것을 권고했다. <br/><br/><br/> <br/><br/><br/>또한 2020년에는 미국 연방정부 차원의 건강보험인 메디케어와 메디케이드를 관장하는 CMS(Centers for Medicare & Medicaid Services)가 만성 요통 환자의 침치료를 보장하는 결정을 내리기도 했다. <br/><br/><br/> <br/><br/><br/>더불어 메이요 클리닉, 존스홉킨스병원 등 세계적으로 권위 있는 의료기관에서도 이미 침치료를 시행하고 있으며, 침치료를 비롯한 통합의학적 치료를 위한 의학센터를 설치한 의료기관도 미국 내 60여곳에 달한다. <br/><br/><br/> <br/><br/><br/>이러한 사회적 흐름에 맞춰 자생한방병원(병원장 이진호)은 13일 '통합의학적 관점'을 주제로 미국 미시건주립대학교와 공동으로 개최한 '2023 자생국제학술대회(Annual Jaseng Academic Conference, AJA)'가 성황리에 마무리됐다고 16일 밝혔다. <br/><br/><br/> <br/><br/><br/>올해로 4회째를 맞는 자생국제학술대회는 그랜드 인터컨티넨탈 서울 파르나스 호텔에서 개최됐다. 이번 학술대회에는 자생한방병원의 설립자인 신준식 박사와 미국 미시건주립대 교수진, 영국 의학침술학회 중진들을 비롯해 캐나다 호주 등 국내·외 의학 분야 최고 전문가 10명이 연자로 나섰으며 한의사 의사 등 각국 의료계 종사자 500여명이 참석했다. <br/><br/><br/> <br/><br/><br/>크게 1부와 2부로 나뉜 이번 학술대회에서는 '통합의학적 수기치료 및 임상적용'을 주제로 침습적 치료와 약물 부작용을 줄이기 위한 수기치료의 최신 경향 및 연구 성과 논의가 먼저 이뤄졌다. 이어 2부에서는 의학적 근거와 객관적인 자료를 토대로 침 치료의 연구 결과 및 사례 등을 다각도로 다뤘다. <br/><br/><br/> <br/><br/><br/>자생한방병원 설립자인 신준식 박사의 '턱관절 장애에 대한 통합의학적 접근: 추나요법과 동작침법'을 주제로 한 기조강연으로 막을 올렸다. 신준식 박사는 통합의학적 측면에서 추나요법과 동작침법을 분석하고 실제 턱관절 장애 환자의 사례들을 소개하며 효과적인 치료법들을 직접 시연하는 등 치료 기전을 청중들에게 설명했다. <br/><br/><br/> <br/><br/><br/>1부 첫 시간으로 미국 수기요법 전문가인 미시건오스테오패틱의사협회 로렌스 프로캅(Lawrence Prokop) 전 회장은 발성 장애에 대한 오스테오패틱 수기요법을 설명했다. 그는 수기요법의 다양한 장점과 활용도를 강조하며 국가 간 최신 지견교류의 중요성을 역설했다. <br/><br/><br/> <br/><br/><br/>경항통(목 통증)에 대한 한의치료 효과 발표도 이어졌다. 자생한방병원 이진호 병원장은 경항통 한의치료의 최신 경향과 의학적 근거를 제시하며 의료기기 사용을 통해 한의치료의 안전성과 효과를 향상시키는 발전 방향을 제안했다. 그리고 미국 미시건주립대학교 오스오패틱 의과대학 캐서린 도나휴(Catherine Donahue) 교수가 미국 현지에서 화상을 통해 경추와 견관절에 대한 오스테오패틱 수기 치료법에 대해 설명하며 치료 결과를 분석했다. <br/><br/><br/> <br/><br/><br/>2부에서는 의학적인 근거를 토대로 한 침치료의 연구 결과 및 사례가 다각도로 논의됐다. 침치료 분야 세계 권위의 SCI(E)급 국제학술지 '침술의학(Acupuncture in Medicine)'의 편집장인 데이비드 코긴카(David Coggin-Carr)는 '임신 중 침치료의 안전성'을 주제로 약물치료나 수술이 어려운 임산부들의 통증 치료에 적용할 수 있는 안전한 침치료와 그 효능에 대해 공유했다."
5,"<selenium.webdriver.remote.webelement.WebElement (session=""1b90b6dd95c7c30de2f875cd331d1e57"", element=""7CA9422B3ABA02A87168B3E6402539E0_element_52"")>","강원도교육청 전경
강원도 원주·강릉지역의 폐교 부지에 놀이를 중심으로 한 유아교육시설이 들어선다. <br/> <br/>강원도교육청은 지방재정투사심사위원회 심사 결과 ‘가칭 유아교육원 원주·강릉 유아놀이체험장 설립 건’이 적정으로 의결됐다고 16일 밝혔다. 이에 따라 도교육청은 원주 지정면 월송리 옛 지정초 송암분교장 부지와 강릉 사천면 사기막리 옛 사천초 사기막분교장 자리에 유아놀이체험장을 조성할 예정이다. 각각 200억원씩 모두 400억원이 투입된다. 시설면적은 3200㎡ 규모다. 2026년 6월 개원을 목표로 사업을 추진한다. <br/> <br/>유아놀이체험장 이용 대상은 3~5세 유아다. 체험시설은 유아·놀이중심 교육과정과 연계한 실내·외 체험시설이 들어설 예정이다. 주말에는 가족체험 및 지역사회와 함께하는 문화·예술 체험 공간 등으로 운영할 계획이다. <br/> <br/>도교육청은 설립지원자문단 및 실무추진단을 구성해 효율적이고 내실 있는 유아놀이체험장 프로그램을 구축할 방침이다. <br/> <br/>현재 도교육청에서 운영 중인 유아체험시설은 춘천 강원유아교육진흥원, 평창 메밀꽃유치원, 속초유치원 등 3곳이다. 이들 시설에서는 안전 대피훈련, 나무 오르기 체험, 곤충 교육, 음악 감상 등 유아의 신체적 정신적 성장을 돕기 위한 다양한 체험 활동을 진행하고 있다. <br/> <br/>도교육청은 원주·강릉 유아놀이체험장 설립을 계기로 유아체험시설을 더 늘려갈 계획이다. 김용묵 유·초등교육과장은 “놀이를 중심으로 한 교육을 통해 유아의 바른 성장을 도모해가겠다”며 “유아놀이체험장 운영을 통해 지역사회와 교육공동체 구성원 간 교육적 협력이 더욱 활성화될 것을 기대한다”고 말했다. <br/> <br/>춘천=서승진 기자 sjseo@kmib.co.kr"
6,"<selenium.webdriver.remote.webelement.WebElement (session=""1b90b6dd95c7c30de2f875cd331d1e57"", element=""7CA9422B3ABA02A87168B3E6402539E0_element_53"")>","피난은 재난, 재해를 피해 안전한 곳으로 옮기는 것을 뜻한다. 아이티에선 범죄 집단에 의한 살인 등이 무서워 피난 행렬이 계속되고 있고 우크라이나에선 러시아군의 지속적인 포격으로 고통받는 우크라이나 사람들이 피난길에 오르고 있다. 캐나다와 프랑스에선 산불을 피해서 사람들이 이미 대피를 했거나 지금도 대피하고 있다. <br/><br/> 국제인권단체 휴먼라이츠워치에 따르면 아이티의 수도 포르토프랭스 안팎에서 범죄 집단에 의한 살인, 납치, 성폭력이 2023년 초부터 급격히 증가하고 있다. 아이티 정부는 이러한 범죄 집단의 폭력으로부터 국민을 보호하지 못했으며, 범죄 집단 중 상당수는 고위 정치인, 경제인, 경찰과 연루된 것으로 의심받고 있다.<br/><br/> 곽윤섭 선임기자 kwak1027@hani.co.kr"
7,"<selenium.webdriver.remote.webelement.WebElement (session=""1b90b6dd95c7c30de2f875cd331d1e57"", element=""7CA9422B3ABA02A87168B3E6402539E0_element_54"")>","‘전국의 어느 시청을 오후 2시7분께 폭발할 것’이라는 내용의 메일이 서울시청으로 접수돼 16일 오후 1시20분께 경찰이 대전시청에 출동해 시청 출입을 통제하고 있다. 최예린 기자
전국의 관공서에 폭탄을 설치했다는 내용의 이메일이 서울시청으로 접수돼 경찰이 경계를 강화하는 등 조치에 나섰다.<br/><br/>16일 대전경찰청 등에 따르면 전날 서울시청으로 ‘전국의 시청 한 곳에 폭발물을 설치했고, 16일 오후 2시7분께 폭발할 것’이라는 내용의 메일이 접수됐다. 이메일에 테러 지역이 특정되지 않아 경찰은 전국 지역 경찰청에 공조를 요청했다.<br/><br/>대전경찰청은 만일의 사태에 대비해 대전시청 출입문을 막고 공무원들을 일시 대피시켰다. 경찰 특공대를 보내 위험 요소가 있는지 확인하고 있다. 경기남부청 역시 수원시청과 화성시청 공무원들을 대피시키고, 시청 안을 수색하고 있다. 부산경찰청도 신고를 접수하고 경찰특공대와 형사 등 경찰 인력을 배치해 부산시청 안을 수색하고 있다. 부산시청 출입문도 막은 상태다.<br/><br/><br/><br/>해당 이메일의 발송자는 지난주부터 이어진 일본발 폭파 협박 이메일과 같은 것으로 파악됐다. 지난 7일에는 ‘이재명 민주당 대표를 살해하라. 8월9일 오후 3시34분까지 살해하지 않으면 시한폭탄을 폭발시키겠다’는 내용의 이메일이 서울시 공무원 등에게 발송됐고, 남산타워·국립중앙박물관·일본대사관 등을 지목한 폭파 협박 메일도 일본 계정으로 보내졌다.<br/><br/>지난 14일에는 ‘서울시청 내 여러 곳에 고성능 폭탄을 설치했다. 폭파 시간은 8월15일 오후 3시34분’이라는 내용의 이메일이 서울시로 접수돼 경찰이 서울시청 안팎을 수색하기도 했다.<br/><br/>최예린 기자 floye@hani.co.kr"
8,"<selenium.webdriver.remote.webelement.WebElement (session=""1b90b6dd95c7c30de2f875cd331d1e57"", element=""7CA9422B3ABA02A87168B3E6402539E0_element_55"")>","‘소용없어 거짓말’. 사진ㅣtvN
‘소용없어 거짓말’ 김소현이 황민현에게 눈물 젖은 고백을 했다.<br/>지난 15일 방송된 tvN 월화드라마 ‘소용없어 거짓말’(연출 남성우, 극본 서정은, 기획 스튜디오 드래곤, 제작 빅오션이엔엠) 6회에서는 위기를 딛고 세상 밖으로 한 발 나온 김도하(황민현 분)의 설레는 변화가 그려졌다. 목솔희(김소현 분)에게 자신의 감정을 표현하기 시작한 김도하의 직진은 보는 이들의 설렘을 자극했다. 여기에 김도하에게 거짓말이 들린다고 고백하는 목솔희의 눈물 엔딩은 애틋함을 자아내는 동시에 이들에게 찾아온 또 다른 변화를 예고하며 궁금증을 높였다.<br/>김도하의 설레는 직진과 함께 시청률도 상승했다. 6회 시청률은 수도권 가구 기준 평균 3.8% 최고 4.9%, 전국 가구 기준 평균 3.4% 최고 4.3%로 자체 최고를 경신, 뜨거운 호응을 이어갔다. (닐슨코리아 유료플랫폼 기준)<br/>사칭범 사건 이후 김도하는 달라졌다. 마스크를 벗은 그는 여전히 사람들의 시선이 불편하고 두렵지만 더는 숨지 않기로 한 것. 그리고 목솔희에게 고마움을 전했다. 서로를 누구보다 이해하게 된 목솔희, 김도하는 그렇게 한 발 더 가까워지고 있었다.<br/>한편 목솔희는 김도하와의 첫 술자리에서 잊고 싶은 기억을 생성했다. 김도하를 향한 취중 새우 하트 애교에 아이스크림 투정까지, 만취한 목솔희의 곤란하지만 사랑스러운 주정에 김도하는 미소지었다. 급기야 “나 좋아하죠?”라는 갑작스러운 질문에 당황해하는 김도하의 모습은 보는 이들까지 두근거리게 했다. 목솔희의 주정 퍼레이드는 계속됐다. 쓰러진 목솔희를 업고 집에 도착한 김도하. 불편하지 않도록 목솔희의 겉옷까지 조심스레 벗겨준 그는 집으로 향하려 했다. 하지만 어느새 깨어나 김도하에게 “착한 사람인 줄 알았는데”라면서 따귀를 날리는 목솔희의 모습은 웃음을 자아냈다. 다음 날 온갖 숙취해소제와 목솔희가 좋아하는 해장국을 사 들고 목솔희를 찾은 김도하. 현관 비밀번호까지 바꾸라는 세심한 그의 변화가 목솔희는 싫지 않았다.<br/>목솔희, 김도하는 자신들도 모르는 사이 일상에서 서로를 떠올리고 있었다. 축구 국가대표 친선 경기 소식에 서로를 생각한 두 사람. 김도하는 때마침 세탁을 마친 셔츠를 건네러 온 목솔희에게 축구 경기를 함께 보자며 데이트 신청을 했다. 한껏 들떠 데이트 준비를 하는 두 사람의 모습은 이들 사이에 싹튼 묘한 핑크빛 기류를 짐작게 했다. 무엇보다도 “난 그냥 잘 보이고 싶어서요”라는 김도하의 순도 100%의 진실은 목솔희의 심장을 두근거리게 했다.<br/>그런 가운데 목솔희, 김도하의 관계에 또 다른 터닝포인트가 찾아왔다. 목솔희가 ‘거짓말이 들리는’ 능력을 고백한 것. 새로운 의뢰를 받고 나간 자리에는 엄마 차향숙(진경 분)이 있었다. 자신에게 한 번만 기회를 달라고 애원하는 엄마의 거짓말을 이번에도 눈 감지 못했던 목솔희. 힘겨워하는 목솔희에게 들이닥친 엄마는 온갖 악담을 쏟아냈다. 엄마는 자신이 불행한 게 모두 목솔희 탓이라고 울분을 토했다. 자신을 사랑하냐고 묻는 말에 대답이 없는 엄마를 보면서 목솔희는 눈물을 흘렸다.<br/>목솔희 걱정에 우산을 챙겨 들고 타로 카페를 찾은 김도하는 뜻하지 않게 두 모녀의 대화를 듣고 말았다. 목솔희의 눈물을 처음 본 김도하는 마음이 아팠다. 손길을 뿌리치며 모든 게 다시 틀어질 거라고 자신의 능력을 원망하는 목솔희. 그리고 이어진 목솔희의 “나는 거짓말이 들려요”라는 말은 충격이었다. 숨겨왔던 자신의 비밀을 김도하에게 말하는 목솔희의 눈물 어린 고백, 그리고 혼란스러운 김도하의 빗속 눈맞춤 엔딩은 애틋함을 자아내는 동시에 궁금증을 높였다.<br/>이날 목솔희를 여전히 사랑하는 이강민(서지훈 분)의 모습도 그려졌다. 특히 목솔희는 모르는 이강민의 과거는 두 사람이 이별하게 된 진짜 이유를 궁금케 했다. 또 조득찬(윤지온 분)을 찾아와 김도하가 김승주(황민현 분)가 아니냐며 압박하는 최엄호(권동호 분)의 위태로운 행보도 위기감을 고조시켰다.<br/>tvN 월화드라마 ‘소용없어 거짓말’은 매주 월, 화 오후 8시 50분 방송된다.<br/>[신영은 스타투데이 기자]"
9,"<selenium.webdriver.remote.webelement.WebElement (session=""1b90b6dd95c7c30de2f875cd331d1e57"", element=""7CA9422B3ABA02A87168B3E6402539E0_element_56"")>","이주호 사회부총리 겸 교육부장관(왼쪽 네번째), 유홍림 서울대학교 총장(세번째), 차정인 국가거점국립대 총장협의회장(다섯번째) 등이 16일 서울 신림동 서울대학교 행정관 대회의실에서 열린 '국가거점국립대학교 간 협력을 위한 협약식'에서 기념촬영 후 인사를 나누고 있다. <br/>이주호 사회부총리 겸 교육부장관(왼쪽 여섯번째), 유홍림 서울대학교 총장(다섯번째), 차정인 국가거점국립대 총장협의회장(일곱번째) 등이 16일 서울 신림동 서울대학교 행정관 대회의실에서 열린 '국가거점국립대학교 간 협력을 위한 협약식'에서 기념촬영을 하고 있다. <br/>이주호 부총리 겸 교육부 장관(왼쪽 세 번째)이 16일 서울 신림동 서울대학교 행정관 대회의실에서 열린 '국가거점국립대학교 간 협력을 위한 협약식'에서 인사말을 하고 있다. <br/>차정인 국가거점국립대 총장협의회 회장(부산대 총장)(오른쪽 세번째)이 16일 서울 신림동 서울대학교 행정관 대회의실에서 열린 '국가거점국립대학교 간 협력을 위한 협약식'에서 인사말을 하고 있다. 이 협약식엔 서울대, 부산대, 전북대 등 10개 거점 국립대학이 참여해 국립대 간 상호신뢰를 바탕으로 교육·연구 네트워크를 구축하기 위해 마련됐다. <br/> <br/>/ 임대철 기자"
