,content,label
1906,"강원기상청, 분야별 폭염 위험수준분포도 발표
7월31일 강원지방기상청이 발표한 8월1일 기준 폭염영향예보[강원지방기상청 제공]
강원기상청, 분야별 폭염 위험수준분포도 발표 강원도 전역에 폭염특보가 내려지는 등 찜통더위가 이어지고 있는 가운데, 개인 보건뿐 아니라 농업과 축산업 등 1차산업을 중심으로 폭염 피해예방을 위한 주의가 요구된다.   31일 강원기상청이 발표한 폭염영향예보에 따르면 내일(8월1일)까지 당분간 강원도는 일일 최고 체감온도가 35도 내외로 오르는 곳이 많겠다.   특히 동해안과 일부 내륙에 열대야가 나타는 곳도 있겠다.   강원기상청의 위험수준분포도를 보면 일부 시군을 제외한 강원도 전 지역의 농업분야 위험수준은 최고 단계인 ‘위험’을 보이겠다.   강원북부산지와 속초, 양구, 고성, 양양도 ‘경고’단계로 예상된다.   축산업 분야를 보면 강원도 영서와 영동은 3단계인 ‘경고’를 보이겠고 나머지 지역은 ‘주의’를 보이겠다.   보건분야는 춘천이 최고단계인 ‘위험’을 보이겠고 강원북부지역과 영동은 ‘경고’, 나머지 지역은 ‘주의’로 예상된다.   기온이 올라가면 온열질환 발생 가능성이 있으니 물을 충분히 마시고, 격렬한 야외활동은 가급적 자제하는 것이 좋다.",1
2043,"7월 24일 서울 포스코센터 아트홀에서 열린 <2023 포스코 기업시민 DAY> 행사에서 포스코1%나눔재단의 <만남이 예술이 되다 시즌 3>에 참가한 장애 예술인 이남현 성악가와 아카펠라그룹 메이트리가 함께 공연을 펼쳤다. 포스코 제공
포스코1%나눔재단이 장예 예술인 창작 활동의 대중화를 지원하기 위해 ‘만남이 예술이 되다’ 시즌 4를 시작했다고 31일 밝혔다. 만남이 예술이 되다는 장애 예술인과 유명인사(셀럽)의 협업 모습을 영상으로 제작함으로써 장애인 예술가의 일상과 작품 활동을 널리 알리는 사업이다. 2020년 사업 개시 이후 지난해까지 미술, 음악, 무용, 문학 등 다양한 분야 장애 예술인 29명(27팀)을 선정해 총 59편의 영상을 제작했다. 누적 조회 수는 2200만회를 넘었다.    올해는 성악가 강유경씨(시각장애), 첼리스트 배범준씨(지적장애), 보컬·기타리스트 배희관씨(시각장애), 화가 석창우씨(지체장애), 피아노 병창 최준씨(자폐성 발달장애) 등이 한국장애예술인협회 추천으로 최종 선발됐다. 부활, 안예은 등 5팀의 셀럽이 이들과 함께 창작 활동을 한다. 제작한 영상은 ‘KBS 조이’를 통해 방영되고, 유튜브 채널 ‘포스코TV’에도 올라갈 예정이다.    황민혁 기자 okjs@kmib.co.kr",1
1694,◇신예섬 한국청소년육성회 원주지구회장은 1일 오후 6시 무실동 롯데시네마 인근에서 원주경찰서 등 관계기관과 함께 여름철 청소년쉼터 연합 아웃리치 활동을 진행.,1
266,"경기도일자리재단이 운영하는 구직정보 플랫폼 '잡아봐'에서는 대기업부터 금융, 중소기업까지 '탐나는 일자리'에 대한 정보를 제공받을 수 있다. 경기도일자리재단 제공.
삼성·LG전자·IBK기업은행·중소기업중앙회와 업무 협약 체결 협력사 채용 정보 등 '좋은 일자리 정보' 공유 '경기도일자리재단 시즌2' 가장 큰 변화, 연간 1만5000명 구직 성공 목표     【파이낸셜뉴스 수원=장충식 기자】 경기도일자리재단이 제공하는 채용정보가 '탐나는 일자리'로 채워지고 있다.    재단이 운영하는 '잡아봐'는 이미 누적회원 150만명을 넘기며 구직자들이 필수 가입해야 하는 구직정보 플랫폼이 된 지 오래지만, 지금도 업그레이드를 통해 민간 채용정보 업체와 차별화를 시도하고 있는 셈이다.    그동안 재단은 경기도 산하 공공기관이라는 특성에 맞게 구직자들을 위한 지원 정책들을 중심으로 운영됐지만, 지난해 12월 채이배 대표의 취임과 더불어 시작된 '경기일자리재단 시즌2'를 통해 '좋은 일자리 제공'이라는 전혀 다른 모습이 갖춰지고 있다.     삼성·LG 등 대기업부터 금융·중소기업까지 '탐나는 일자리 제공'    '경기도일자리재단 시즌2'에서 가장 크게 달라진 점은 '탐나는 일자리'에 대한 정보 제공이다.    단 하나의 일자리 정보를 제공하더라도, 구직자들이 원하는 우수 기업들의 정보를 제공해 취업 성공률을 높이겠다는 전략이다.    이를 위해 재단은 지난 7월 18일 삼성전자, 20일 IBK기업은행, 중소기업중앙회의 탐나는 일자리 제공을 위한 업무 협약을 체결했다.    또 LG전자의 협력사들의 채용정보를 공유하기 위해 협약 사항을 논의 중이다.    이에 따라 구직자들은 '잡아봐' 내 '탐나는 일자리정보관'에 접속하면 삼성전자와 LG전자 협력사의 채용정보와 IBK기업은행이 운영하는 '아이원잡', 중소기업중앙회가 운영하는 '참 괜찮은 중소기업'의 채용정보를 함께 확인할 수 있다.    이를 통해 재단은 구직자를 대기업 등 좋은 협력사로 채용 연계해 일자리 미스매치 문제를 해소하고, 고용률 향상에도 기여할 것으로 기대하고 있다.     탐나는 일자리 정보 1000개 이상 업그레드 완료 이같은 노력을 통해 재단은 약 1000개 이상의 좋은 일자리 정보를 가져오는데 성공했다.    채 대표는 ""기존 일자리재단에 없는 채용정보가 중기중앙회 참 괜찮은 일자리 805개, 기업은행 아이원잡 105개, LG전자 151개 등 약 1000개 정도가 추가 됐다""며 ""이 일자리는 이미 검증을 거친 괜찮은 일자리로, 이를 바탕으로 하반기부터 기업전담상담을 통해 취업성과를 낼 것""이라고 말했다.    현재 삼성전자 협력사들에 대한 구체적인 논의가 진행되는 상황에서, 재단의 '탐나는 일자리'는 더 늘어날 전망이다.    무엇보다 일자리 정보 제공에 대한 큰 변화는 채 대표의 취임 공약이기도 하다.    그는 취임 초기 '잡아봐'의 누적 회원이 150만명에 달하는 이유를 '취업 정보 제공'으로 판단했다.    채 대표는 ""잡아봐 회원들이 가장 원한고 있는 것이 바로 취업 정보다. 일자리 정보가 있어야 한다""며 ""경기도의 경우 대기업이 많이 위치해 있고, 산업단지도 많다는 점에서 좋은 일자리 정보를 모아 볼 수 있을 것""이라는 계획을 세웠다.    이후 지금까지 경기도내 유명 기업들을 찾아다니며 협의를 진행하고, 조금씩 성과를 내고 있다.    이로 인해 채 대표는 '잡아봐'를 통해 취업에 성공하는 구직자들이 연간 1만5000명까지 늘어날 수 있을 것으로 기대하고 있다.    경기도일자리재단 혁신전략팀 조현선 팀장은 ""일자리 정보의 차별화는 재단의 큰 변화 중 하나로, 잡아봐를 통한 구직 성공률을 높일 수 있는 효과적인 방법""이라며 ""현재 다양한 기업들과의 협력을 추진하고 있다""고 전했다.",1
801,◇정만수 강릉소방서장은 1일 오전 9시 강릉소방서에서 열리는 인사발령신고식에 참석.,1
823,"자전거하이킹 기부챌린지 시즌7'에 참가하는 청소년 9명이 31일 충주 탄금공원을 출발하고 있다. 이들은 기부액 1500만원을 목표로 3박4일간 충주~인천 왕복 450㎞ 코스 완주에 도전한다.
9명 충주~인천 450㎞ 완주 도전…긴급 수술 지원 충북 충주 지역 위기청소년들의 도전형 기부 프로그램 '자전거하이킹 기부챌린지 시즌7'이 시작됐다.   지난달 31일 충주시에 따르면 남자단기청소년쉼터 이용 청소년 등 9명이 이날 오전 탄금공원에서 출정식을 갖고 기부챌린지를 위해 출발했다.   시즌7은 기부액 1500만원을 목표로 3박4일간 충주~인천 왕복 450㎞ 코스 완주에 도전한다.   '위 아 헬퍼즈(We are Helpers)'를 슬로건으로 긴급 수술이 필요한 소외계층을 돕는 프로젝트다.   기부금 모금은 자전거하이킹을 완주하는 8월 3일까지 진행되며, 쉼터 홈페이지에서 신청할 수 있다.   특히 올해는 그동안 챌린지 중 가장 먼 거리에 도전하기 때문에 참가 청소년들은 사전연습 2회와 폭우에 대비한 안전교육을 마쳤다.   한 참여 학생은 ""이렇게 긴 거리를 자전거로 도전한다는 게 가능할까 싶었지만, 아프신 분들을 돕기 위해 끝까지 포기하지 않고 달리고 싶다""고 밝혔다.   2017년 시작된 기부 챌린지는 쉼터 입소 청소년들이 자전거 완주로 이웃을 돕는 도전형 기부 프로그램이다.   그동안 1900㎞를 달려 8000만원을 모금해 기부했다.   허경회 쉼터 소장은 ""나만의 행복이 아니라 다른 사람의 행복을 더해주는 청소년들로 자라나길 바라는 마음으로 프로젝트를 진행하고 있다""며 ""기부챌린저로 동참해 주신 분들께 진심으로 감사드린다""고 말했다.(문의=☏ 043-911-3479)/충주=이현기자",1
1670,"속초시 청초호유원지 물놀이터가 31일 이병선 속초시장, 김명길 속초시의장 등이 참석한 가운데 준공식을 갖고 본격적인 운영에 들어갔다.",1
1678,[머니투데이 박광범 기자] 31일 서울 외환시장,1
377,"[서울=뉴시스] 추상철 기자 = 이재명 더불어민주당 대표가 31일 오전 서울 여의도 국회에서 열린 최고위원회의에서 박광온 원내대표의 발언을 듣고 있다. 2023.07.31.
[머니투데이 박상곤 기자] [the300]    이재명 더불어민주당 대표가 지난 28일 기시다 후미오 일본 총리에게 후쿠시마 오염수 방류 보류를 촉구하는 내용의 서한을 보냈다.  권칠승 민주당 수석대변인은 31일 오전 서울 여의도 국회 소통관에서 브리핑을 통해 ""이 대표는 지난 28일 기시다 후미오 일본 총리에게 후쿠시마 오염수 해양 방류 보류를 촉구하는 서한을 주한 일본 대사관을 통해 전달했다""고 밝혔다.  권 수석대변인에 따르면 이 대표는 서한을 통해 후쿠시마 오염수 해양 방류에 대한 대한민국 국민의 우려와 반대 입장을 전한 것으로 알려졌다.  권 수석대변인은 ""이 대표는 일본이 검증되지 않은 오염수를 방류하려고 하는 바다는 '미래에 태어날 아이들의 바다이자 지구 생명 모두의 바다'라는 점을 상기시키며 (기시다 총리에게) 진지한 고려를 촉구했다""며 ""서한에서 기시다 총리에게 오염수 해양 방류를 보류하고 상설협의체를 구성해 환경영향평가를 시행하는 등 다섯 가지 사항을 제안했다""고 말했다.  그러면서 ""이 대표는 이 같은 제안을 바탕으로 지구촌의 공존을 위해 일본에 오염수 해양 방류를 멈추고 국제사회와 협력을 통해 안전한 대안을 함께 찾자고 밝혔다""며 ""동아시아 평화를 위한 관계로 나아갈 수 있도록 기시다 총리의 무거운 결정을 기다리겠다고 호소했다""고 덧붙였다.",0
1827,"양산시가 2024년 준공을 목표로 시민에게 깨끗하고 안전한 수돗물을 공급하고 유수율을 향상할 '지방상수도 현대화사업'을 추진하고 있다.   2020년 시작한 사업은 상수관망 블록과 유지관리시스템 구축, 노후 상수관 교체, 누수 정비 등에 국비 165억 원을 포함해 사업비 311억 원을 투입한다. 시는 양산 전역 현장 조사를 시작으로 양산권과 웅상권 블록 구축공사를 하고 있다. 노후 상수관망 2개 블록 정비공사도 지난달 시작했다. 정비공사 대상지는 삼성동 북정택지 주변과 물금역 주변으로, 환경부 성과판정 목표 유수율인 85% 이상을 달성하하고자 배수관 전체 길이 5760m, 급수관 전체 길이 760m 규모로 노후관을 교체ㆍ정비할 계획이다.   2024년 사업을 마치면 유지관리시스템을 활용한 신속한 누수 탐사, 관로 교체, 복구 등이 원활해져 적수 사고를 더욱 효과적으로 예방할 수 있다. 흔히 '녹물'이라고 불리는 적수 사고는 수도관 내면 부식 등으로 급수전에서 황갈색이나 적갈색을 띠는 물이 나오는 현상을 말한다. 아울러 누수량 감소로 비용을 절감할 수 있어 수도시설 개선에 재투자하는 선순환 구조를 정립할 것으로 기대하고 있다.   /이현희 기자",1
